Values recorded at: 30-Jan-2013 14:46:38

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	
      13.304	      0.914	      0.000	      0.000	      0.021	      0.391	
      14.267	      0.999	      0.000	      0.000	      0.017	      0.329	
      12.923	      0.897	      0.000	      0.000	      0.017	      0.319	
      13.174	      0.942	      0.001	      0.000	      0.018	      0.322	
      12.866	      0.916	      0.001	      0.000	      0.018	      0.393	
      12.920	      1.091	      0.000	      0.000	      0.018	      0.394	
      12.947	      0.933	      0.001	      0.000	      0.016	      0.373	
      14.209	      0.945	      0.000	      0.000	      0.017	      0.558	
      13.314	      0.912	      0.000	      0.000	      0.017	      0.362	
      14.162	      0.956	      0.000	      0.000	      0.017	      0.450	
      13.134	      0.912	      0.001	      0.000	      0.017	      0.373	
      13.195	      0.910	      0.001	      0.000	      0.018	      0.373	
      14.372	      0.953	      0.000	      0.000	      0.016	      0.433	
      14.143	      0.970	      0.001	      0.000	      0.015	      0.473	
      14.225	      0.895	      0.001	      0.000	      0.018	      0.429	
      14.420	      0.879	      0.001	      0.000	      0.017	      0.503	
      13.047	      0.929	      0.001	      0.000	      0.022	      0.437	
      14.450	      0.899	      0.001	      0.000	      0.016	      0.413	
      13.089	      0.902	      0.000	      0.000	      0.016	      0.398	
      13.014	      0.914	      0.000	      0.000	      0.017	      0.362	
      12.984	      0.902	      0.001	      0.000	      0.016	      0.413	
      13.038	      0.919	      0.000	      0.000	      0.017	      0.375	
      13.414	      0.912	      0.000	      0.000	      0.017	      0.518	
      14.337	      0.913	      0.000	      0.000	      0.016	      0.414	
      12.945	      0.908	      0.000	      0.000	      0.018	      0.389	
      14.340	      0.895	      0.000	      0.000	      0.018	      0.371	
      14.399	      1.023	      0.001	      0.000	      0.017	      0.379	
      12.878	      0.926	      0.000	      0.000	      0.037	      0.503	
      14.742	      1.061	      0.001	      0.000	      0.016	      0.394	
      14.151	      0.981	      0.000	      0.000	      0.021	      0.412	
      14.466	      0.940	      0.000	      0.000	      0.016	      0.402	
      14.594	      0.914	      0.000	      0.000	      0.057	      0.370	
      14.413	      0.948	      0.001	      0.000	      0.018	      0.372	
      13.277	      0.972	      0.001	      0.000	      0.016	      0.369	
      14.569	      0.906	      0.000	      0.000	      0.018	      0.372	
      12.907	      0.969	      0.001	      0.000	      0.016	      0.358	
      14.358	      0.903	      0.000	      0.000	      0.017	      0.369	
      14.348	      1.126	      0.001	      0.000	      0.017	      0.371	
      14.406	      0.968	      0.000	      0.000	      0.025	      0.543	
      14.523	      0.892	      0.001	      0.000	      0.017	      0.490	
      13.694	      0.918	      0.000	      0.000	      0.017	      0.375	
      14.432	      0.958	      0.001	      0.000	      0.016	      0.431	
      14.339	      0.985	      0.001	      0.000	      0.058	      0.418	
      14.624	      0.921	      0.001	      0.000	      0.018	      0.415	
      14.547	      1.012	      0.000	      0.000	      0.018	      0.360	
      13.253	      1.056	      0.000	      0.000	      0.017	      0.367	
      12.869	      1.039	      0.001	      0.000	      0.016	      0.364	
      12.973	      0.943	      0.000	      0.000	      0.016	      0.359	
      12.922	      0.907	      0.000	      0.000	      0.016	      0.405	
      13.530	      0.944	      0.000	      0.000	      0.016	      0.436	
      14.374	      1.002	      0.001	      0.000	      0.058	      0.371	
      14.415	      0.904	      0.000	      0.000	      0.017	      0.555	
      14.323	      0.876	      0.000	      0.000	      0.017	      0.641	
      14.403	      0.907	      0.000	      0.000	      0.016	      0.475	
      14.311	      0.957	      0.001	      0.000	      0.017	      0.497	
      14.028	      0.986	      0.000	      0.000	      0.018	      0.384	
      13.359	      0.917	      0.000	      0.000	      0.021	      0.472	
      14.488	      0.949	      0.001	      0.000	      0.017	      0.524	
      12.965	      0.917	      0.000	      0.000	      0.016	      0.365	
      14.374	      0.902	      0.000	      0.000	      0.018	      0.523	
      13.031	      0.900	      0.001	      0.000	      0.016	      0.463	
      14.372	      1.058	      0.001	      0.000	      0.017	      0.371	
      14.416	      0.951	      0.001	      0.000	      0.017	      0.533	
      14.462	      0.901	      0.000	      0.000	      0.056	      0.410	
      14.115	      0.957	      0.000	      0.000	      0.016	      0.492	
      13.048	      0.877	      0.001	      0.000	      0.018	      0.463	
      14.139	      1.055	      0.001	      0.000	      0.019	      0.457	
      13.053	      0.909	      0.001	      0.000	      0.017	      0.367	
      14.606	      0.901	      0.001	      0.000	      0.016	      0.511	
      14.035	      0.906	      0.000	      0.000	      0.018	      0.358	
      14.506	      1.049	      0.001	      0.000	      0.017	      0.469	
      13.126	      0.910	      0.000	      0.000	      0.018	      0.375	
      12.973	      0.911	      0.000	      0.000	      0.016	      0.352	
      13.007	      0.898	      0.000	      0.000	      0.016	      0.340	
 
