Values recorded at: 05-Dec-2012 21:21:59

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	
      10.187	      0.793	      0.000	      0.000	      0.010	      0.374	
      10.086	      0.814	      0.000	      0.000	      0.010	      0.368	
      10.908	      0.806	      0.000	      0.000	      0.010	      0.420	
      10.131	      1.017	      0.000	      0.000	      0.011	      0.366	
      11.157	      0.793	      0.000	      0.000	      0.012	      0.370	
      10.363	      0.833	      0.000	      0.000	      0.012	      0.377	
      10.327	      0.851	      0.000	      0.000	      0.011	      0.362	
      11.533	      0.839	      0.000	      0.000	      0.012	      0.375	
      10.824	      0.807	      0.000	      0.000	      0.011	      0.486	
      10.895	      0.974	      0.000	      0.000	      0.013	      0.380	
      10.901	      0.775	      0.000	      0.000	      0.014	      0.372	
      10.456	      0.806	      0.000	      0.000	      0.014	      0.493	
      11.454	      0.851	      0.001	      0.000	      0.052	      0.517	
      10.468	      0.783	      0.000	      0.000	      0.014	      0.368	
      10.828	      0.779	      0.001	      0.000	      0.014	      0.371	
      10.213	      0.777	      0.000	      0.000	      0.014	      0.417	
       9.947	      1.258	      0.000	      0.000	      0.017	      0.452	
      10.353	      0.774	      0.000	      0.000	      0.014	      0.377	
      10.592	      0.796	      0.000	      0.000	      0.014	      0.382	
      10.648	      0.785	      0.000	      0.000	      0.013	      0.434	
      10.103	      0.954	      0.000	      0.000	      0.014	      0.514	
      10.593	      0.773	      0.000	      0.000	      0.013	      0.405	
      11.900	      0.789	      0.000	      0.000	      0.015	      0.556	
      10.258	      0.836	      0.000	      0.000	      0.014	      0.547	
      11.095	      1.084	      0.001	      0.000	      0.036	      0.703	
      10.201	      0.856	      0.001	      0.000	      0.014	      0.405	
 
