Values recorded at: 16-Feb-2013 16:18:17

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	
       0.095	      1.619	      0.000	      0.001	      0.001	      0.358	
       0.163	      2.276	      0.000	      0.002	      0.002	      0.561	
       0.150	      2.255	      0.000	      0.002	      0.002	      0.563	
       0.142	      2.704	      0.000	      0.002	      0.003	      0.603	
       0.140	      2.124	      0.001	      0.001	      0.002	      0.538	
       0.140	      2.107	      0.000	      0.002	      0.002	      0.520	
       0.137	      2.147	      0.000	      0.001	      0.002	      0.522	
       0.136	      2.171	      0.000	      0.001	      0.002	      0.521	
       0.137	      2.142	      0.000	      0.001	      0.002	      0.520	
       0.137	      2.134	      0.000	      0.001	      0.002	      0.520	
       0.138	      2.086	      0.000	      0.002	      0.002	      0.518	
       0.136	      2.198	      0.001	      0.001	      0.002	      0.518	
       0.138	      2.073	      0.000	      0.001	      0.002	      0.514	
       0.139	      2.100	      0.000	      0.001	      0.002	      0.517	
       0.204	      2.200	      0.000	      0.002	      0.002	      0.573	
       0.170	      2.323	      0.000	      0.002	      0.002	      0.559	
       0.147	      2.414	      0.000	      0.001	      0.002	      0.551	
       0.135	      2.095	      0.000	      0.001	      0.002	      0.564	
       0.138	      2.086	      0.000	      0.001	      0.002	      0.543	
       0.138	      2.137	      0.000	      0.001	      0.002	      0.515	
       0.137	      2.092	      0.000	      0.001	      0.002	      0.513	
       0.137	      2.116	      0.000	      0.001	      0.002	      0.514	
       0.138	      2.279	      0.000	      0.002	      0.002	      0.520	
 
